Sensor,Timestamp,DateTime,Date,Time,TimeNumeric,Seconds,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_T3810936,1648642194,2022-03-30T14:09:54,2022-03-30,14:09:54,14.15,0,Day,12.6,71.8,987.4,1.764,3.373036477725019,,,0.435,0.8677621799522336,-0.0,-0.0,0.0,0.0,0.0,62
AQT530_T3810936,1648642254,2022-03-30T14:10:54,2022-03-30,14:10:54,14.166666666666666,60,Day,12.6,70.8,987.2,1.976,3.777647418103498,,,,,,,0.0,0.0,0.0,122
AQT530_T3810936,1648642314,2022-03-30T14:11:54,2022-03-30,14:11:54,14.183333333333334,120,Day,12.7,69.9,987.1,1.454,2.778452235209925,,,,,0.0,0.0,7.2,11.4,22.0,182
AQT530_T3810936,1648642374,2022-03-30T14:12:54,2022-03-30,14:12:54,14.2,180,Day,12.7,71.6,987.0,1.079,2.0616549167118405,,,,,,,7.2,11.4,22.0,242
AQT530_T3810936,1648642434,2022-03-30T14:13:54,2022-03-30,14:13:54,14.216666666666667,240,Day,12.7,71.5,987.0,0.785,1.4999064964029611,,,,,,,7.2,11.4,22.0,302
AQT530_T3810936,1648642494,2022-03-30T14:14:54,2022-03-30,14:14:54,14.233333333333333,300,Day,12.6,70.7,986.9,0.5479999999999999,1.0473287891876522,,,0.001,0.00199384543034152,-0.0,-0.0,7.2,11.4,22.0,362
AQT530_T3810936,1648642554,2022-03-30T14:15:54,2022-03-30,14:15:54,14.25,360,Day,12.5,70.2,986.9,0.355,0.6787078103095765,,,,,,,7.2,11.4,22.0,421
AQT530_T3810936,1648642614,2022-03-30T14:16:54,2022-03-30,14:16:54,14.266666666666667,420,Day,12.4,71.1,986.9,0.19899999999999998,0.3805919815426239,,,0.10300000000000001,0.2055099182881079,,,7.2,11.4,22.0,481
AQT530_T3810936,1648642674,2022-03-30T14:17:54,2022-03-30,14:17:54,14.283333333333333,480,Day,12.4,72.2,986.8,0.07200000000000001,0.13768766851692252,,,0.29600000000000004,0.5905317667320014,0.0,0.0,7.2,11.4,22.0,541
AQT530_T3810936,1648642734,2022-03-30T14:18:54,2022-03-30,14:18:54,14.3,540,Day,12.5,70.5,986.8,,,,,0.43,0.8575667725083955,,,7.2,11.4,22.0,601
AQT530_T3810936,1648642794,2022-03-30T14:19:54,2022-03-30,14:19:54,14.316666666666666,600,Day,12.5,69.8,986.8,,,,,0.48,0.9572838390791392,0.0,0.0,7.2,11.4,22.0,661
AQT530_T3810936,1648642854,2022-03-30T14:20:54,2022-03-30,14:20:54,14.333333333333334,660,Day,12.5,70.2,986.7,,,,,0.433,0.8634622863894965,0.09699999999999999,0.12093498902094076,7.2,11.4,22.0,721
AQT530_T3810936,1648642914,2022-03-30T14:21:54,2022-03-30,14:21:54,14.35,720,Day,12.5,69.8,986.7,0.0,0.0,,,0.391,0.7797084387489448,0.188,0.23438946325708107,6.7,10.5,24.1,781
AQT530_T3810936,1648642974,2022-03-30T14:22:54,2022-03-30,14:22:54,14.366666666666667,780,Day,12.5,70.0,986.7,,,,,0.354,0.705925287256078,0.26,0.3241556406746866,6.7,10.5,24.1,841
AQT530_T3810936,1648643034,2022-03-30T14:23:54,2022-03-30,14:23:54,14.383333333333333,840,Day,12.4,70.3,986.7,,,,,0.321,0.6403428631218007,0.318,0.39660612697862835,6.7,10.5,24.1,901
AQT530_T3810936,1648643094,2022-03-30T14:24:54,2022-03-30,14:24:54,14.4,900,Day,12.4,69.6,986.7,,,,,0.29100000000000004,0.58049773572724,0.36200000000000004,0.4514824464347909,6.7,10.5,24.1,961
AQT530_T3810936,1648643154,2022-03-30T14:25:54,2022-03-30,14:25:54,14.416666666666666,960,Day,12.4,69.5,986.7,,,,,0.264,0.5266371210721352,0.39399999999999996,0.4913924969483634,6.7,10.5,24.1,1021
AQT530_T3810936,1648643214,2022-03-30T14:26:54,2022-03-30,14:26:54,14.433333333333334,1020,Day,12.4,69.9,986.6,,,,,0.24100000000000002,0.48070713312662283,0.418,0.5212721996217426,6.7,10.5,24.1,1081
AQT530_T3810936,1648643274,2022-03-30T14:27:54,2022-03-30,14:27:54,14.45,1080,Day,12.4,70.9,986.6,,,,,0.22,0.4388197895761701,0.436,0.5437193278351191,6.7,10.5,24.1,1141
AQT530_T3810936,1648643334,2022-03-30T14:28:54,2022-03-30,14:28:54,14.466666666666667,1140,Day,12.4,72.3,986.6,,,,,0.19699999999999998,0.39294317521138866,0.44799999999999995,0.5586840799773701,6.7,10.5,24.1,1201
AQT530_T3810936,1648643394,2022-03-30T14:29:54,2022-03-30,14:29:54,14.483333333333333,1200,Day,12.4,70.3,986.6,,,,,0.182,0.3630236441039225,0.451,0.5624252680129329,6.7,10.5,24.1,1261
AQT530_T3810936,1648643454,2022-03-30T14:30:54,2022-03-30,14:30:54,14.5,1260,Day,12.4,72.5,986.6,,,,,0.163,0.32512557136779874,0.45299999999999996,0.5649193933699747,6.7,10.5,24.1,1321
AQT530_T3810936,1648643514,2022-03-30T14:31:54,2022-03-30,14:31:54,14.516666666666667,1320,Day,12.4,71.1,986.5,,,,,0.15,0.29916498517651885,0.446,0.5561335802077375,6.2,9.3,12.6,1381
AQT530_T3810936,1648643574,2022-03-30T14:32:54,2022-03-30,14:32:54,14.533333333333333,1380,Day,12.5,70.5,986.5,-0.0,-0.0,,,0.136,0.27114796350622733,0.43799999999999994,0.5459668916286738,6.2,9.3,12.6,1441
AQT530_T3810936,1648643634,2022-03-30T14:33:54,2022-03-30,14:33:54,14.55,1440,Day,12.5,69.7,986.5,,,,,0.115,0.22927952796482454,0.429,0.5347483938554821,6.2,9.3,12.6,1501
AQT530_T3810936,1648643694,2022-03-30T14:34:54,2022-03-30,14:34:54,14.566666666666666,1500,Day,12.5,69.9,986.5,,,,,0.096,0.191398562474984,0.41600000000000004,0.5185438970719826,6.2,9.3,12.6,1561
AQT530_T3810936,1648643754,2022-03-30T14:35:54,2022-03-30,14:35:54,14.583333333333334,1560,Day,12.5,69.4,986.5,,,,,0.08199999999999999,0.16348627211404876,0.40299999999999997,0.5023394002884831,6.2,9.3,12.6,1620
AQT530_T3810936,1648643814,2022-03-30T14:36:54,2022-03-30,14:36:54,14.6,1620,Day,12.5,70.0,986.5,-0.0,-0.0,0.027000000000000003,3.141254141557208e-05,0.071,0.1415551868304569,0.38799999999999996,0.48364190399982987,6.2,9.3,12.6,1680
AQT530_T3810936,1648643874,2022-03-30T14:37:54,2022-03-30,14:37:54,14.616666666666667,1680,Day,12.5,69.7,986.5,-0.0,-0.0,0.077,8.958391440737222e-05,0.063,0.12560530662420824,0.373,0.46494440771117673,6.2,9.3,12.6,1740
AQT530_T3810936,1648643934,2022-03-30T14:38:54,2022-03-30,14:38:54,14.633333333333333,1740,Day,12.4,68.7,986.5,,,0.11900000000000001,0.00013849635235285015,0.057,0.11368269436707718,0.35700000000000004,0.44515625142188864,6.2,9.3,12.6,1800
AQT530_T3810936,1648643994,2022-03-30T14:39:54,2022-03-30,14:39:54,14.65,1800,Day,12.5,68.7,986.5,,,0.156,0.00018149468373441642,0.052000000000000005,0.10367422134061632,0.341,0.42505641562871654,6.2,9.3,12.6,1860
AQT530_T3810936,1648644054,2022-03-30T14:40:54,2022-03-30,14:40:54,14.666666666666666,1860,Day,12.5,68.8,986.5,,,0.18899999999999997,0.0002198877899090045,0.049,0.09769301626327306,0.325,0.40511241958748645,6.2,9.3,12.6,1920
AQT530_T3810936,1648644114,2022-03-30T14:41:54,2022-03-30,14:41:54,14.683333333333334,1920,Day,12.5,69.4,986.5,,,0.22399999999999998,0.0002606077510032646,0.047,0.09370554621171089,0.309,0.3851684235462563,6.1,9.0,12.6,1980
AQT530_T3810936,1648644174,2022-03-30T14:42:54,2022-03-30,14:42:54,14.7,1980,Day,12.5,69.7,986.5,,,0.256,0.0002978374297180167,0.046,0.09171181118592979,0.293,0.36522442750502615,6.1,9.0,12.6,2040
AQT530_T3810936,1648644234,2022-03-30T14:43:54,2022-03-30,14:43:54,14.716666666666667,2040,Day,12.5,70.1,986.4,-0.0,-0.0,0.278,0.00032340004794147067,0.045,0.08970898157564186,0.27699999999999997,0.34524543091321686,6.1,9.0,12.6,2100
AQT530_T3810936,1648644294,2022-03-30T14:44:54,2022-03-30,14:44:54,14.733333333333333,2100,Day,12.5,70.0,986.4,,,0.29600000000000004,0.00034433961939091853,0.044000000000000004,0.0877154486517387,0.262,0.32654982996123766,6.1,9.0,12.6,2160
